Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
11-06-2021T22:05,386,227,247,327,223,330,321,48,212
11-06-2021T22:10,379,223,243,327,228,330,312,44,207
11-06-2021T22:15,371,222,242,325,229,330,294,44,208
11-06-2021T22:20,364,221,238,317,217,311,292,44,206
11-06-2021T22:25,351,223,232,309,218,302,292,45,200
11-06-2021T22:30,349,209,232,313,215,304,282,46,207
11-06-2021T22:35,350,210,231,305,210,295,277,44,203
11-06-2021T22:40,346,209,232,307,206,279,269,41,202
11-06-2021T22:45,344,213,224,307,209,278,261,39,201
11-06-2021T22:50,348,202,219,292,211,272,266,41,196
11-06-2021T22:55,338,198,221,288,200,259,262,40,196
11-06-2021T23:00,328,202,215,286,193,253,250,43,192
11-06-2021T23:05,308,207,218,274,189,255,247,39,188
11-06-2021T23:10,291,203,216,267,186,256,243,36,180
11-06-2021T23:15,290,201,208,263,180,246,243,35,173
11-06-2021T23:20,289,201,201,255,178,236,230,33,174
11-06-2021T23:25,283,189,193,249,176,241,235,36,175
11-06-2021T23:30,287,190,189,233,170,226,229,35,178
11-06-2021T23:35,268,195,193,237,175,221,233,35,175
11-06-2021T23:40,260,190,190,232,169,220,221,36,170
11-06-2021T23:45,247,187,181,232,168,215,217,38,165
11-06-2021T23:50,243,183,180,227,163,208,223,37,165
11-06-2021T23:55,251,186,177,227,158,198,212,37,158
12-06-2021T00:00,249,196,169,228,150,196,208,35,154
12-06-2021T00:05,254,194,159,218,144,192,211,34,151
12-06-2021T00:10,250,194,154,219,129,198,208,37,137
12-06-2021T00:15,242,191,146,219,122,201,205,37,131
12-06-2021T00:20,240,192,142,220,118,205,196,35,128
12-06-2021T00:25,235,187,157,219,117,202,187,34,121
12-06-2021T00:30,229,183,144,213,119,194,185,33,127
12-06-2021T00:35,219,170,142,209,123,197,184,30,116
12-06-2021T00:40,219,166,144,202,125,191,187,31,112
12-06-2021T00:45,218,173,145,200,119,183,186,28,107
12-06-2021T00:50,216,174,146,196,119,187,195,24,105
12-06-2021T00:55,217,166,142,174,120,178,194,25,105
12-06-2021T01:00,212,159,138,161,125,181,191,25,101
12-06-2021T01:05,211,157,134,162,125,178,192,24,97
12-06-2021T01:10,197,157,135,154,122,172,174,26,102
12-06-2021T01:15,203,155,131,152,116,174,169,27,101
12-06-2021T01:20,192,150,129,148,114,171,160,26,100
12-06-2021T01:25,190,151,128,144,116,168,162,26,99
12-06-2021T01:30,193,144,134,147,111,174,161,27,97
12-06-2021T01:35,190,141,135,138,112,167,164,28,92
12-06-2021T01:40,190,144,131,139,106,167,159,29,96
12-06-2021T01:45,182,141,132,136,102,161,159,30,97
12-06-2021T01:50,184,138,134,134,105,160,161,32,86
12-06-2021T01:55,177,137,141,133,106,159,160,34,82
