Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
2-5-2020T00:00,351.53,406.41,388.03,402.78,473.50,372.20,498.04
3-5-2020T00:00,352.75,408.61,384.73,404.65,463.86,369.90,488.36
4-5-2020T00:00,268.05,332.04,306.62,300.75,360.24,296.52,413.29
5-5-2020T00:00,271.73,337.27,306.44,304.08,344.46,281.93,411.94
6-5-2020T00:00,263.89,315.90,290.75,296.40,338.49,265.12,378.55
7-5-2020T00:00,263.82,335.71,293.73,295.39,352.91,282.21,391.66
8-5-2020T00:00,297.25,360.54,323.18,326.35,373.96,306.29,442.67
9-5-2020T00:00,349.65,399.77,372.38,399.15,456.38,365.51,498.86
10-5-2020T00:00,331.25,390.89,362.78,372.89,428.40,338.20,480.19
11-5-2020T00:00,278.74,329.00,292.66,323.62,349.22,289.79,403.30
12-5-2020T00:00,263.36,331.30,294.16,300.29,343.71,279.48,401.53
13-5-2020T00:00,270.42,328.38,292.89,287.24,326.04,286.75,388.62
14-5-2020T00:00,266.78,331.64,279.35,284.16,318.05,276.53,369.63
15-5-2020T00:00,297.92,351.51,324.91,333.50,349.83,314.06,417.88
16-5-2020T00:00,347.91,393.81,364.85,400.89,417.52,388.22,497.87
17-5-2020T00:00,360.01,393.46,379.61,400.26,422.38,376.18,497.15
18-5-2020T00:00,280.25,326.73,308.95,321.92,331.68,310.11,413.69
19-5-2020T00:00,265.77,321.96,290.80,298.67,315.44,288.03,386.98
20-5-2020T00:00,265.02,302.89,276.95,294.49,287.09,280.51,371.38
21-5-2020T00:00,268.58,325.88,291.27,293.73,311.90,276.30,399.31
22-5-2020T00:00,291.87,348.47,325.23,333.50,340.40,316.72,438.49
23-5-2020T00:00,340.92,391.29,359.25,392.93,398.45,376.31,517.40
24-5-2020T00:00,350.11,404.53,358.22,412.61,410.59,374.34,544.57
25-5-2020T00:00,323.40,362.88,338.26,386.77,372.85,352.94,500.97
26-5-2020T00:00,252.19,306.66,276.19,304.68,310.53,282.41,411.33
27-5-2020T00:00,240.32,292.23,260.85,284.08,294.05,261.71,384.43
28-5-2020T00:00,246.50,306.80,278.51,281.87,306.79,275.33,405.74
29-5-2020T00:00,267.72,342.56,292.17,306.51,308.64,286.27,433.91
30-5-2020T00:00,323.23,370.76,328.31,392.86,374.31,346.62,509.22
31-5-2020T00:00,342.10,387.93,368.90,386.92,375.75,362.17,535.18
1-6-2020T00:00,256.59,305.32,278.91,292.86,293.27,282.07,420.41
2-6-2020T00:00,236.97,289.94,275.37,274.56,275.79,266.89,409.72
3-6-2020T00:00,244.63,291.30,268.13,276.85,272.99,257.91,396.80
4-6-2020T00:00,260.54,318.09,283.32,296.67,291.60,280.72,452.60
5-6-2020T00:00,277.72,334.27,308.78,324.95,312.36,301.48,473.83
6-6-2020T00:00,340.00,396.69,364.13,399.38,383.84,375.83,583.59
7-6-2020T00:00,340.55,405.30,381.24,388.13,393.11,365.34,591.31
8-6-2020T00:00,270.31,329.12,285.23,307.25,304.40,294.48,476.43
9-6-2020T00:00,247.09,305.18,269.23,298.39,293.01,270.36,461.34
10-6-2020T00:00,253.05,316.34,283.39,304.71,295.11,280.60,485.45
11-6-2020T00:00,252.20,326.38,279.99,305.33,293.96,277.15,485.79
12-6-2020T00:00,263.83,312.98,274.20,300.76,286.57,267.98,472.89
13-6-2020T00:00,319.45,382.32,350.73,388.84,363.61,334.18,591.74
14-6-2020T00:00,331.94,384.32,361.89,388.76,355.65,351.58,580.30
15-6-2020T00:00,264.76,297.44,283.43,299.66,286.93,282.87,452.93
16-6-2020T00:00,262.71,303.69,286.53,297.64,282.79,272.72,460.83
17-6-2020T00:00,252.91,289.98,259.00,281.89,273.87,246.75,448.77
18-6-2020T00:00,255.08,309.52,276.48,276.68,261.41,260.31,451.72
19-6-2020T00:00,268.91,302.72,295.90,302.51,287.12,282.23,469.64
20-6-2020T00:00,328.41,356.93,326.72,358.65,343.81,321.22,558.15
21-6-2020T00:00,324.39,368.43,336.10,362.09,343.59,336.75,560.91
22-6-2020T00:00,259.24,309.03,275.66,297.83,266.31,264.64,463.55
23-6-2020T00:00,253.00,288.64,247.21,267.52,248.93,254.20,432.48
24-6-2020T00:00,235.15,267.23,232.76,244.97,231.33,235.06,418.78
